country_code,language_code,phrase,multiplier
US,en-US,"bitcoin new high",0.9
US,en-US,"sell bitcoin",-0.5
US,en-US,"bitcoin sell",-0.5
US,en-US,"dump btc",-0.8
US,en-US,"bitcoin crash",-1.0
US,en-US,"btc bear",-0.8
US,en-US,"bitcoin dead",-1.0
US,en-US,"bitcoin ban",-1.0
US,en-US,"crypto regulation",-0.7
US,en-US,"bitcoin illegal",-1.0
US,en-US,"bitcoin hack",-1.0
US,en-US,"crypto scam",-0.8
US,en-US,"bitcoin stolen",-0.9
US,en-US,"bitcoin energy",-0.5
US,en-US,"bitcoin bubble",-0.8
US,en-US,"bitcoin ponzi",-0.9
US,en-US,"bitcoin price",0.0
US,en-US,"btc usd",0.0
US,en-US,"bitcoin rate",0.0
US,en-US,"bitcoin news",0.0
US,en-US,"crypto news",0.0
US,en-US,"btc today",0.0
US,en-US,"bitcoin halving",0.0
US,en-US,"btc mining",0.0
US,en-US,"bitcoin blockchain",0.0
US,en-US,"what is bitcoin",0.0
US,en-US,"bitcoin explained",0.0
US,en-US,"how bitcoin works",0.0
AU,en-AU,"buy bitcoin",0.7
AU,en-AU,"how to buy btc",0.8
AU,en-AU,"bitcoin purchase",0.7
AU,en-AU,"bitcoin investment",0.6
AU,en-AU,"btc portfolio",0.5
AU,en-AU,"crypto invest",0.5
AU,en-AU,"bitcoin bull",0.9
AU,en-AU,"btc moon",1.0
AU,en-AU,"bitcoin rally",0.9
AU,en-AU,"bitcoin ETF",0.8
AU,en-AU,"institutional bitcoin",0.7
AU,en-AU,"bitcoin legal",0.6
AU,en-AU,"bitcoin all time high",1.0
AU,en-AU,"btc ath",1.0
AU,en-AU,"bitcoin new high",0.9
AU,en-AU,"sell bitcoin",-0.5
AU,en-AU,"bitcoin sell",-0.5
AU,en-AU,"dump btc",-0.8
AU,en-AU,"bitcoin crash",-1.0
AU,en-AU,"btc bear",-0.8
AU,en-AU,"bitcoin dead",-1.0
AU,en-AU,"bitcoin ban",-1.0
AU,en-AU,"crypto regulation",-0.7
AU,en-AU,"bitcoin illegal",-1.0
AU,en-AU,"bitcoin hack",-1.0
AU,en-AU,"crypto scam",-0.8
AU,en-AU,"bitcoin stolen",-0.9
AU,en-AU,"bitcoin energy",-0.5
AU,en-AU,"bitcoin bubble",-0.8
AU,en-AU,"bitcoin ponzi",-0.9
AU,en-AU,"bitcoin price",0.0
AU,en-AU,"btc usd",0.0
AU,en-AU,"bitcoin rate",0.0
AU,en-AU,"bitcoin news",0.0
AU,en-AU,"crypto news",0.0
AU,en-AU,"btc today",0.0
AU,en-AU,"bitcoin halving",0.0
AU,en-AU,"btc mining",0.0
AU,en-AU,"bitcoin blockchain",0.0
AU,en-AU,"what is bitcoin",0.0
AU,en-AU,"bitcoin explained",0.0
AU,en-AU,"how bitcoin works",0.0
BD,bn-BD,"buy bitcoin",0.7
BD,bn-BD,"how to buy btc",0.8
BD,bn-BD,"bitcoin purchase",0.7
BD,bn-BD,"bitcoin investment",0.6
BD,bn-BD,"btc portfolio",0.5
BD,bn-BD,"crypto invest",0.5
BD,bn-BD,"bitcoin bull",0.9
BD,bn-BD,"btc moon",1.0
BD,bn-BD,"bitcoin rally",0.9
BD,bn-BD,"bitcoin ETF",0.8
BD,bn-BD,"institutional bitcoin",0.7
BD,bn-BD,"bitcoin legal",0.6
BD,bn-BD,"bitcoin all time high",1.0
BD,bn-BD,"btc ath",1.0
BD,bn-BD,"bitcoin new high",0.9
BD,bn-BD,"sell bitcoin",-0.5
BD,bn-BD,"bitcoin sell",-0.5
BD,bn-BD,"dump btc",-0.8
BD,bn-BD,"bitcoin crash",-1.0
BD,bn-BD,"btc bear",-0.8
BD,bn-BD,"bitcoin dead",-1.0
BD,bn-BD,"bitcoin ban",-1.0
BD,bn-BD,"crypto regulation",-0.7
BD,bn-BD,"bitcoin illegal",-1.0
BD,bn-BD,"bitcoin hack",-1.0
BD,bn-BD,"crypto scam",-0.8
BD,bn-BD,"bitcoin stolen",-0.9
BD,bn-BD,"bitcoin energy",-0.5
BD,bn-BD,"bitcoin bubble",-0.8
BD,bn-BD,"bitcoin ponzi",-0.9
BD,bn-BD,"bitcoin price",0.0
BD,bn-BD,"btc usd",0.0
BD,bn-BD,"bitcoin rate",0.0
BD,bn-BD,"bitcoin news",0.0
BD,bn-BD,"crypto news",0.0
BD,bn-BD,"btc today",0.0
BD,bn-BD,"bitcoin halving",0.0
BD,bn-BD,"btc mining",0.0
BD,bn-BD,"bitcoin blockchain",0.0
BD,bn-BD,"what is bitcoin",0.0
BD,bn-BD,"bitcoin explained",0.0
BD,bn-BD,"how bitcoin works",0.0
KH,km,"buy bitcoin",0.7
KH,km,"how to buy btc",0.8
KH,km,"bitcoin purchase",0.7
KH,km,"bitcoin investment",0.6
KH,km,"btc portfolio",0.5
KH,km,"crypto invest",0.5
KH,km,"bitcoin bull",0.9
KH,km,"btc moon",1.0
KH,km,"bitcoin rally",0.9
KH,km,"bitcoin ETF",0.8
KH,km,"institutional bitcoin",0.7
KH,km,"bitcoin legal",0.6
KH,km,"bitcoin all time high",1.0
KH,km,"btc ath",1.0
KH,km,"bitcoin new high",0.9
KH,km,"sell bitcoin",-0.5
KH,km,"bitcoin sell",-0.5
KH,km,"dump btc",-0.8
KH,km,"bitcoin crash",-1.0
KH,km,"btc bear",-0.8
KH,km,"bitcoin dead",-1.0
KH,km,"bitcoin ban",-1.0
KH,km,"crypto regulation",-0.7
KH,km,"bitcoin illegal",-1.0
KH,km,"bitcoin hack",-1.0
KH,km,"crypto scam",-0.8
KH,km,"bitcoin stolen",-0.9
KH,km,"bitcoin energy",-0.5
KH,km,"bitcoin bubble",-0.8
KH,km,"bitcoin ponzi",-0.9
KH,km,"bitcoin price",0.0
KH,km,"btc usd",0.0
KH,km,"bitcoin rate",0.0
KH,km,"bitcoin news",0.0
KH,km,"crypto news",0.0
KH,km,"btc today",0.0
KH,km,"bitcoin halving",0.0
KH,km,"btc mining",0.0
KH,km,"bitcoin blockchain",0.0
KH,km,"what is bitcoin",0.0
KH,km,"bitcoin explained",0.0
KH,km,"how bitcoin works",0.0
HK,zh-HK,"买比特币",0.7
HK,zh-HK,"卖比特币",-0.5
HK,zh-HK,"比特币价格",0.0
HK,zh-HK,"比特币新闻",0.0
IN,en-IN,"buy bitcoin",0.7
IN,en-IN,"how to buy btc",0.8
IN,en-IN,"bitcoin purchase",0.7
IN,en-IN,"bitcoin investment",0.6
IN,en-IN,"btc portfolio",0.5
IN,en-IN,"crypto invest",0.5
IN,en-IN,"bitcoin bull",0.9
IN,en-IN,"btc moon",1.0
IN,en-IN,"bitcoin rally",0.9
IN,en-IN,"bitcoin ETF",0.8
IN,en-IN,"institutional bitcoin",0.7
IN,en-IN,"bitcoin legal",0.6
IN,en-IN,"bitcoin all time high",1.0
IN,en-IN,"btc ath",1.0
IN,en-IN,"bitcoin new high",0.9
IN,en-IN,"sell bitcoin",-0.5
IN,en-IN,"bitcoin sell",-0.5
IN,en-IN,"dump btc",-0.8
IN,en-IN,"bitcoin crash",-1.0
IN,en-IN,"btc bear",-0.8
IN,en-IN,"bitcoin dead",-1.0
IN,en-IN,"bitcoin ban",-1.0
IN,en-IN,"crypto regulation",-0.7
IN,en-IN,"bitcoin illegal",-1.0
IN,en-IN,"bitcoin hack",-1.0
IN,en-IN,"crypto scam",-0.8
IN,en-IN,"bitcoin stolen",-0.9
IN,en-IN,"bitcoin energy",-0.5
IN,en-IN,"bitcoin bubble",-0.8
IN,en-IN,"bitcoin ponzi",-0.9
IN,en-IN,"bitcoin price",0.0
IN,en-IN,"btc usd",0.0
IN,en-IN,"bitcoin rate",0.0
IN,en-IN,"bitcoin news",0.0
IN,en-IN,"crypto news",0.0
IN,en-IN,"btc today",0.0
IN,en-IN,"bitcoin halving",0.0
IN,en-IN,"btc mining",0.0
IN,en-IN,"bitcoin blockchain",0.0
IN,en-IN,"what is bitcoin",0.0
IN,en-IN,"bitcoin explained",0.0
IN,en-IN,"how bitcoin works",0.0
ID,id,"beli bitcoin",0.7
ID,id,"jual bitcoin",-0.5
ID,id,"harga bitcoin",0.0
ID,id,"berita bitcoin",0.0
JP,ja,"ビットコイン",0.0
JP,ja,"仮想通貨",0.0
LA,lo,"buy bitcoin",0.7
LA,lo,"how to buy btc",0.8
LA,lo,"bitcoin purchase",0.7
LA,lo,"bitcoin investment",0.6
LA,lo,"btc portfolio",0.5
LA,lo,"crypto invest",0.5
LA,lo,"bitcoin bull",0.9
LA,lo,"btc moon",1.0
LA,lo,"bitcoin rally",0.9
LA,lo,"bitcoin ETF",0.8
LA,lo,"institutional bitcoin",0.7
LA,lo,"bitcoin legal",0.6
LA,lo,"bitcoin all time high",1.0
LA,lo,"btc ath",1.0
LA,lo,"bitcoin new high",0.9
LA,lo,"sell bitcoin",-0.5
LA,lo,"bitcoin sell",-0.5
LA,lo,"dump btc",-0.8
LA,lo,"bitcoin crash",-1.0
LA,lo,"btc bear",-0.8
LA,lo,"bitcoin dead",-1.0
LA,lo,"bitcoin ban",-1.0
LA,lo,"crypto regulation",-0.7
LA,lo,"bitcoin illegal",-1.0
LA,lo,"bitcoin hack",-1.0
LA,lo,"crypto scam",-0.8
LA,lo,"bitcoin stolen",-0.9
LA,lo,"bitcoin energy",-0.5
LA,lo,"bitcoin bubble",-0.8
LA,lo,"bitcoin ponzi",-0.9
LA,lo,"bitcoin price",0.0
LA,lo,"btc usd",0.0
LA,lo,"bitcoin rate",0.0
LA,lo,"bitcoin news",0.0
LA,lo,"crypto news",0.0
LA,lo,"btc today",0.0
LA,lo,"bitcoin halving",0.0
LA,lo,"btc mining",0.0
LA,lo,"bitcoin blockchain",0.0
LA,lo,"what is bitcoin",0.0
LA,lo,"bitcoin explained",0.0
LA,lo,"how bitcoin works",0.0
MY,ms-MY,"beli bitcoin",0.7
MY,ms-MY,"jual bitcoin",-0.5
MY,ms-MY,"harga bitcoin",0.0
MY,ms-MY,"berita bitcoin",0.0
MN,mn,"buy bitcoin",0.7
MN,mn,"how to buy btc",0.8
MN,mn,"bitcoin purchase",0.7
MN,mn,"bitcoin investment",0.6
MN,mn,"btc portfolio",0.5
MN,mn,"crypto invest",0.5
MN,mn,"bitcoin bull",0.9
MN,mn,"btc moon",1.0
MN,mn,"bitcoin rally",0.9
MN,mn,"bitcoin ETF",0.8
MN,mn,"institutional bitcoin",0.7
MN,mn,"bitcoin legal",0.6
MN,mn,"bitcoin all time high",1.0
MN,mn,"btc ath",1.0
MN,mn,"bitcoin new high",0.9
MN,mn,"sell bitcoin",-0.5
MN,mn,"bitcoin sell",-0.5
MN,mn,"dump btc",-0.8
MN,mn,"bitcoin crash",-1.0
MN,mn,"btc bear",-0.8
MN,mn,"bitcoin dead",-1.0
MN,mn,"bitcoin ban",-1.0
MN,mn,"crypto regulation",-0.7
MN,mn,"bitcoin illegal",-1.0
MN,mn,"bitcoin hack",-1.0
MN,mn,"crypto scam",-0.8
MN,mn,"bitcoin stolen",-0.9
MN,mn,"bitcoin energy",-0.5
MN,mn,"bitcoin bubble",-0.8
MN,mn,"bitcoin ponzi",-0.9
MN,mn,"bitcoin price",0.0
MN,mn,"btc usd",0.0
MN,mn,"bitcoin rate",0.0
MN,mn,"bitcoin news",0.0
MN,mn,"crypto news",0.0
MN,mn,"btc today",0.0
MN,mn,"bitcoin halving",0.0
MN,mn,"btc mining",0.0
MN,mn,"bitcoin blockchain",0.0
MN,mn,"what is bitcoin",0.0
MN,mn,"bitcoin explained",0.0
MN,mn,"how bitcoin works",0.0
MM,my,"buy bitcoin",0.7
MM,my,"how to buy btc",0.8
MM,my,"bitcoin purchase",0.7
MM,my,"bitcoin investment",0.6
MM,my,"btc portfolio",0.5
MM,my,"crypto invest",0.5
MM,my,"bitcoin bull",0.9
MM,my,"btc moon",1.0
MM,my,"bitcoin rally",0.9
MM,my,"bitcoin ETF",0.8
MM,my,"institutional bitcoin",0.7
MM,my,"bitcoin legal",0.6
MM,my,"bitcoin all time high",1.0
MM,my,"btc ath",1.0
MM,my,"bitcoin new high",0.9
MM,my,"sell bitcoin",-0.5
MM,my,"bitcoin sell",-0.5
MM,my,"dump btc",-0.8
MM,my,"bitcoin crash",-1.0
MM,my,"btc bear",-0.8
MM,my,"bitcoin dead",-1.0
MM,my,"bitcoin ban",-1.0
MM,my,"crypto regulation",-0.7
MM,my,"bitcoin illegal",-1.0
MM,my,"bitcoin hack",-1.0
MM,my,"crypto scam",-0.8
MM,my,"bitcoin stolen",-0.9
MM,my,"bitcoin energy",-0.5
MM,my,"bitcoin bubble",-0.8
MM,my,"bitcoin ponzi",-0.9
MM,my,"bitcoin price",0.0
MM,my,"btc usd",0.0
MM,my,"bitcoin rate",0.0
MM,my,"bitcoin news",0.0
MM,my,"crypto news",0.0
MM,my,"btc today",0.0
MM,my,"bitcoin halving",0.0
MM,my,"btc mining",0.0
MM,my,"bitcoin blockchain",0.0
MM,my,"what is bitcoin",0.0
MM,my,"bitcoin explained",0.0
MM,my,"how bitcoin works",0.0
NZ,en-NZ,"buy bitcoin",0.7
NZ,en-NZ,"how to buy btc",0.8
NZ,en-NZ,"bitcoin purchase",0.7
NZ,en-NZ,"bitcoin investment",0.6
NZ,en-NZ,"btc portfolio",0.5
NZ,en-NZ,"crypto invest",0.5
NZ,en-NZ,"bitcoin bull",0.9
NZ,en-NZ,"btc moon",1.0
NZ,en-NZ,"bitcoin rally",0.9
NZ,en-NZ,"bitcoin ETF",0.8
NZ,en-NZ,"institutional bitcoin",0.7
NZ,en-NZ,"bitcoin legal",0.6
NZ,en-NZ,"bitcoin all time high",1.0
NZ,en-NZ,"btc ath",1.0
NZ,en-NZ,"bitcoin new high",0.9
NZ,en-NZ,"sell bitcoin",-0.5
NZ,en-NZ,"bitcoin sell",-0.5
NZ,en-NZ,"dump btc",-0.8
NZ,en-NZ,"bitcoin crash",-1.0
NZ,en-NZ,"btc bear",-0.8
NZ,en-NZ,"bitcoin dead",-1.0
NZ,en-NZ,"bitcoin ban",-1.0
NZ,en-NZ,"crypto regulation",-0.7
NZ,en-NZ,"bitcoin illegal",-1.0
NZ,en-NZ,"bitcoin hack",-1.0
NZ,en-NZ,"crypto scam",-0.8
NZ,en-NZ,"bitcoin stolen",-0.9
NZ,en-NZ,"bitcoin energy",-0.5
NZ,en-NZ,"bitcoin bubble",-0.8
NZ,en-NZ,"bitcoin ponzi",-0.9
NZ,en-NZ,"bitcoin price",0.0
NZ,en-NZ,"btc usd",0.0
NZ,en-NZ,"bitcoin rate",0.0
NZ,en-NZ,"bitcoin news",0.0
NZ,en-NZ,"crypto news",0.0
NZ,en-NZ,"btc today",0.0
NZ,en-NZ,"bitcoin halving",0.0
NZ,en-NZ,"btc mining",0.0
NZ,en-NZ,"bitcoin blockchain",0.0
NZ,en-NZ,"what is bitcoin",0.0
NZ,en-NZ,"bitcoin explained",0.0
NZ,en-NZ,"how bitcoin works",0.0
PK,ur-PK,"buy bitcoin",0.7
PK,ur-PK,"how to buy btc",0.8
PK,ur-PK,"bitcoin purchase",0.7
PK,ur-PK,"bitcoin investment",0.6
PK,ur-PK,"btc portfolio",0.5
PK,ur-PK,"crypto invest",0.5
PK,ur-PK,"bitcoin bull",0.9
PK,ur-PK,"btc moon",1.0
PK,ur-PK,"bitcoin rally",0.9
PK,ur-PK,"bitcoin ETF",0.8
PK,ur-PK,"institutional bitcoin",0.7
PK,ur-PK,"bitcoin legal",0.6
PK,ur-PK,"bitcoin all time high",1.0
PK,ur-PK,"btc ath",1.0
PK,ur-PK,"bitcoin new high",0.9
PK,ur-PK,"sell bitcoin",-0.5
PK,ur-PK,"bitcoin sell",-0.5
PK,ur-PK,"dump btc",-0.8
PK,ur-PK,"bitcoin crash",-1.0
PK,ur-PK,"btc bear",-0.8
PK,ur-PK,"bitcoin dead",-1.0
PK,ur-PK,"bitcoin ban",-1.0
PK,ur-PK,"crypto regulation",-0.7
PK,ur-PK,"bitcoin illegal",-1.0
PK,ur-PK,"bitcoin hack",-1.0
PK,ur-PK,"crypto scam",-0.8
PK,ur-PK,"bitcoin stolen",-0.9
PK,ur-PK,"bitcoin energy",-0.5
PK,ur-PK,"bitcoin bubble",-0.8
PK,ur-PK,"bitcoin ponzi",-0.9
PK,ur-PK,"bitcoin price",0.0
PK,ur-PK,"btc usd",0.0
PK,ur-PK,"bitcoin rate",0.0
PK,ur-PK,"bitcoin news",0.0
PK,ur-PK,"crypto news",0.0
PK,ur-PK,"btc today",0.0
PK,ur-PK,"bitcoin halving",0.0
PK,ur-PK,"btc mining",0.0
PK,ur-PK,"bitcoin blockchain",0.0
PK,ur-PK,"what is bitcoin",0.0
PK,ur-PK,"bitcoin explained",0.0
PK,ur-PK,"how bitcoin works",0.0
PH,tl,"beli bitcoin",0.7
PH,tl,"jual bitcoin",-0.5
PH,tl,"harga bitcoin",0.0
PH,tl,"berita bitcoin",0.0
SG,en-SG,"buy bitcoin",0.7
SG,en-SG,"how to buy btc",0.8
SG,en-SG,"bitcoin purchase",0.7
SG,en-SG,"bitcoin investment",0.6
SG,en-SG,"btc portfolio",0.5
SG,en-SG,"crypto invest",0.5
SG,en-SG,"bitcoin bull",0.9
SG,en-SG,"btc moon",1.0
SG,en-SG,"bitcoin rally",0.9
SG,en-SG,"bitcoin ETF",0.8
SG,en-SG,"institutional bitcoin",0.7
SG,en-SG,"bitcoin legal",0.6
SG,en-SG,"bitcoin all time high",1.0
SG,en-SG,"btc ath",1.0
SG,en-SG,"bitcoin new high",0.9
SG,en-SG,"sell bitcoin",-0.5
SG,en-SG,"bitcoin sell",-0.5
SG,en-SG,"dump btc",-0.8
SG,en-SG,"bitcoin crash",-1.0
SG,en-SG,"btc bear",-0.8
SG,en-SG,"bitcoin dead",-1.0
SG,en-SG,"bitcoin ban",-1.0
SG,en-SG,"crypto regulation",-0.7
SG,en-SG,"bitcoin illegal",-1.0
SG,en-SG,"bitcoin hack",-1.0
SG,en-SG,"crypto scam",-0.8
SG,en-SG,"bitcoin stolen",-0.9
SG,en-SG,"bitcoin energy",-0.5
SG,en-SG,"bitcoin bubble",-0.8
SG,en-SG,"bitcoin ponzi",-0.9
SG,en-SG,"bitcoin price",0.0
SG,en-SG,"btc usd",0.0
SG,en-SG,"bitcoin rate",0.0
SG,en-SG,"bitcoin news",0.0
SG,en-SG,"crypto news",0.0
SG,en-SG,"btc today",0.0
SG,en-SG,"bitcoin halving",0.0
SG,en-SG,"btc mining",0.0
SG,en-SG,"bitcoin blockchain",0.0
SG,en-SG,"what is bitcoin",0.0
SG,en-SG,"bitcoin explained",0.0
SG,en-SG,"how bitcoin works",0.0
KR,ko-KR,"비트코인",0.0
KR,ko-KR,"암호화폐",0.0
KR,ko-KR,"김치 프리미엄",0.5
KR,ko-KR,"비트코인 구매",0.7
KR,ko-KR,"비트코인 판매",-0.5
LK,si,"buy bitcoin",0.7
LK,si,"how to buy btc",0.8
LK,si,"bitcoin purchase",0.7
LK,si,"bitcoin investment",0.6
LK,si,"btc portfolio",0.5
LK,si,"crypto invest",0.5
LK,si,"bitcoin bull",0.9
LK,si,"btc moon",1.0
LK,si,"bitcoin rally",0.9
LK,si,"bitcoin ETF",0.8
LK,si,"institutional bitcoin",0.7
LK,si,"bitcoin legal",0.6
LK,si,"bitcoin all time high",1.0
LK,si,"btc ath",1.0
LK,si,"bitcoin new high",0.9
LK,si,"sell bitcoin",-0.5
LK,si,"bitcoin sell",-0.5
LK,si,"dump btc",-0.8
LK,si,"bitcoin crash",-1.0
LK,si,"btc bear",-0.8
LK,si,"bitcoin dead",-1.0
LK,si,"bitcoin ban",-1.0
LK,si,"crypto regulation",-0.7
LK,si,"bitcoin illegal",-1.0
LK,si,"bitcoin hack",-1.0
LK,si,"crypto scam",-0.8
LK,si,"bitcoin stolen",-0.9
LK,si,"bitcoin energy",-0.5
LK,si,"bitcoin bubble",-0.8
LK,si,"bitcoin ponzi",-0.9
LK,si,"bitcoin price",0.0
LK,si,"btc usd",0.0
LK,si,"bitcoin rate",0.0
LK,si,"bitcoin news",0.0
LK,si,"crypto news",0.0
LK,si,"btc today",0.0
LK,si,"bitcoin halving",0.0
LK,si,"btc mining",0.0
LK,si,"bitcoin blockchain",0.0
LK,si,"what is bitcoin",0.0
LK,si,"bitcoin explained",0.0
LK,si,"how bitcoin works",0.0
TH,th,"ซื้อ Bitcoin",0.7
TH,th,"ขาย Bitcoin",-0.5
TH,th,"ราคา Bitcoin",0.0
TH,th,"ข่าว Bitcoin",0.0
VN,vi,"mua bitcoin",0.7
VN,vi,"bán bitcoin",-0.5
VN,vi,"giá bitcoin",0.0
VN,vi,"tin tức bitcoin",0.0
AT,de-AT,"Bitcoin kaufen",0.7
AT,de-AT,"wie Bitcoin kaufen",0.8
AT,de-AT,"in Bitcoin investieren",0.6
AT,de-AT,"Bitcoin Portfolio",0.5
AT,de-AT,"in Krypto investieren",0.5
AT,de-AT,"Bitcoin steigt",0.9
AT,de-AT,"Bitcoin Rallye",0.9
AT,de-AT,"Bitcoin ETF",0.8
AT,de-AT,"institutionelle Bitcoin",0.7
AT,de-AT,"Bitcoin legal",0.6
AT,de-AT,"Bitcoin Rekordhoch",1.0
AT,de-AT,"Bitcoin ATH",1.0
AT,de-AT,"neues Bitcoin Hoch",0.9
AT,de-AT,"Bitcoin verkaufen",-0.5
AT,de-AT,"Bitcoin Abverkauf",-0.8
AT,de-AT,"Bitcoin Absturz",-1.0
AT,de-AT,"Bitcoin Bärenmarkt",-0.8
AT,de-AT,"Bitcoin tot",-1.0
AT,de-AT,"Bitcoin Verbot",-1.0
AT,de-AT,"Krypto Regulierung",-0.7
AT,de-AT,"Bitcoin illegal",-1.0
AT,de-AT,"Bitcoin Hack",-1.0
AT,de-AT,"Krypto Betrug",-0.8
AT,de-AT,"Bitcoin Diebstahl",-0.9
AT,de-AT,"Bitcoin Energie",-0.5
AT,de-AT,"Bitcoin Blase",-0.8
AT,de-AT,"Bitcoin Schneeballsystem",-0.9
AT,de-AT,"Bitcoin Preis",0.0
AT,de-AT,"Bitcoin Kurs",0.0
AT,de-AT,"Bitcoin Nachrichten",0.0
AT,de-AT,"Krypto Nachrichten",0.0
AT,de-AT,"Bitcoin aktuell",0.0
AT,de-AT,"Bitcoin Halving",0.0
AT,de-AT,"Bitcoin Mining",0.0
AT,de-AT,"Bitcoin Blockchain",0.0
AT,de-AT,"Was ist Bitcoin",0.0
AT,de-AT,"Bitcoin erklärt",0.0
AT,de-AT,"Wie funktioniert Bitcoin",0.0
BE,nl-BE,"buy bitcoin",0.7
BE,nl-BE,"how to buy btc",0.8
BE,nl-BE,"bitcoin purchase",0.7
BE,nl-BE,"bitcoin investment",0.6
BE,nl-BE,"btc portfolio",0.5
BE,nl-BE,"crypto invest",0.5
BE,nl-BE,"bitcoin bull",0.9
BE,nl-BE,"btc moon",1.0
BE,nl-BE,"bitcoin rally",0.9
BE,nl-BE,"bitcoin ETF",0.8
BE,nl-BE,"institutional bitcoin",0.7
BE,nl-BE,"bitcoin legal",0.6
BE,nl-BE,"bitcoin all time high",1.0
BE,nl-BE,"btc ath",1.0
BE,nl-BE,"bitcoin new high",0.9
BE,nl-BE,"sell bitcoin",-0.5
BE,nl-BE,"bitcoin sell",-0.5
BE,nl-BE,"dump btc",-0.8
BE,nl-BE,"bitcoin crash",-1.0
BE,nl-BE,"btc bear",-0.8
BE,nl-BE,"bitcoin dead",-1.0
BE,nl-BE,"bitcoin ban",-1.0
BE,nl-BE,"crypto regulation",-0.7
BE,nl-BE,"bitcoin illegal",-1.0
BE,nl-BE,"bitcoin hack",-1.0
BE,nl-BE,"crypto scam",-0.8
BE,nl-BE,"bitcoin stolen",-0.9
BE,nl-BE,"bitcoin energy",-0.5
BE,nl-BE,"bitcoin bubble",-0.8
BE,nl-BE,"bitcoin ponzi",-0.9
BE,nl-BE,"bitcoin price",0.0
BE,nl-BE,"btc usd",0.0
BE,nl-BE,"bitcoin rate",0.0
BE,nl-BE,"bitcoin news",0.0
BE,nl-BE,"crypto news",0.0
BE,nl-BE,"btc today",0.0
BE,nl-BE,"bitcoin halving",0.0
BE,nl-BE,"btc mining",0.0
BE,nl-BE,"bitcoin blockchain",0.0
BE,nl-BE,"what is bitcoin",0.0
BE,nl-BE,"bitcoin explained",0.0
BE,nl-BE,"how bitcoin works",0.0
BG,bg,"купить биткоин",0.7
BG,bg,"продать биткоин",-0.5
BG,bg,"крах биткоина",-1.0
BG,bg,"запрет биткоина",-1.0
BG,bg,"пузырь биткоина",-0.8
BG,bg,"биткоин скам",-0.8
BG,bg,"биткоин",0.0
BG,bg,"криптовалута",0.0
HR,hr-HR,"buy bitcoin",0.7
HR,hr-HR,"how to buy btc",0.8
HR,hr-HR,"bitcoin purchase",0.7
HR,hr-HR,"bitcoin investment",0.6
HR,hr-HR,"btc portfolio",0.5
HR,hr-HR,"crypto invest",0.5
HR,hr-HR,"bitcoin bull",0.9
HR,hr-HR,"btc moon",1.0
HR,hr-HR,"bitcoin rally",0.9
HR,hr-HR,"bitcoin ETF",0.8
HR,hr-HR,"institutional bitcoin",0.7
HR,hr-HR,"bitcoin legal",0.6
HR,hr-HR,"bitcoin all time high",1.0
HR,hr-HR,"btc ath",1.0
HR,hr-HR,"bitcoin new high",0.9
HR,hr-HR,"sell bitcoin",-0.5
HR,hr-HR,"bitcoin sell",-0.5
HR,hr-HR,"dump btc",-0.8
HR,hr-HR,"bitcoin crash",-1.0
HR,hr-HR,"btc bear",-0.8
